1,2,3,4,5,6,7,8,9,10,11
1,0.666666667,0.583333333,0.878651152,0.4,0.028055592,0.2,0.007954545,0.307692308,0.214765101,0
0.428571429,0.5,0.541666667,0.618142959,0,0.014937005,0.2,0.007954545,0.331730769,0.10738255,0
0.928571429,0.833333333,0.125,0.908810259,0.4,0.760228601,0.2,0.104545455,0.191346154,0.463087248,0
0.392857143,0.666666667,0,0.721918784,0,0.88362125,0.2,0.182954545,0.183173077,0.33557047,0
0.285714286,0.166666667,0,0.41830919,0.2,0.00389661,0.2,0.007954545,0.015865385,0.026845638,1
0.071428571,0,0,0.295179292,0,0.00389661,0.2,0.007954545,0.021634615,0.046979866,2
1,0.666666667,1,0.988838756,0.8,0.252110664,0.2,0,0,0,0
0.607142857,0.666666667,0.5,0.621467585,0,0.557604884,0.2,0,0,0,0
0.428571429,0.666666667,0.25,0.815483258,0.6,0.035978699,0.2,0.282954545,0.228365385,0.845637584,0
0.071428571,0.833333333,0.041666667,0.473640465,0,0.018703728,0.2,0.568181818,0.055769231,0.194630872,0
0.428571429,0.5,0.083333333,0.571004512,0.2,0.025457852,0.2,0.139772727,0.180769231,0,0
0.071428571,0.333333333,0.083333333,0.429232961,0,0.025847513,0.2,0.189772727,0.178846154,0,0
0.142857143,0.333333333,0,0.369270957,0,0.091570334,0.2,0.239204545,0.154807692,0,0
0.892857143,0.833333333,0.333333333,0.954880076,0.6,0.07182751,0.2,0,0,0,0
0,0.333333333,0,0.366183804,0,0.015456553,0.2,0,0,0,0
0.107142857,0.5,0.083333333,0.575991451,0.2,0.009741525,0.2,0.568181818,0.065865385,0.416107383,0
0.035714286,0.166666667,0,0.359772026,0,0.034160281,0.2,0.536022727,0.015865385,0.134228188,0
0.464285714,0.666666667,0.041666667,0.532296367,0.2,0.399142746,0.2,0.127272727,0.089423077,0.080536913,0
0.071428571,0.5,0,0.394324389,0,0.213534225,0.2,0.176363636,0.105769231,0.134228188,0
0.428571429,0.666666667,0,0.70968891,0.2,0.88362125,0.2,0.197159091,0.091826923,0.154362416,0
0.428571429,0.333333333,0,0.646521016,0,0.88362125,0.2,0.204090909,0.015865385,0.11409396,0
0.071428571,0.333333333,0,0.363690335,0,0.88362125,0.2,0.187840909,0.028846154,0.100671141,0
0.928571429,0.833333333,0.125,0.836024697,0.4,0.079750617,0.2,0.147727273,0.114903846,0.32885906,0
0.357142857,0.5,0.208333333,0.551412966,0,0.089751916,0.2,0.120681818,0.051923077,0.201342282,0
0.428571429,0.333333333,0.125,0.662194253,0,0.879075205,0.2,0.007954545,0.132740385,0.308724832,0
0.142857143,0.166666667,0,0.530159107,0,0.800493571,0.2,0.007954545,0.072115385,0,0
0.071428571,0.166666667,0.041666667,0.440275469,0,0.669307702,0.2,0.007954545,0.080769231,0,0
0.428571429,0.5,0,0.661838043,0.2,0.098454345,0.2,0.185227273,0.009375,0.187919463,0
0.107142857,0.333333333,0,0.304203277,0,0.009481751,0.2,0.019318182,0.017403846,0.040268456,0
0,0.5,0.25,0.440037996,0,0.473308222,0.2,0,0,0,0
0.928571429,1,0.75,0.947874614,0.6,0.114040785,0.2,0.414318182,0.445192308,1,0
0.071428571,0.666666667,0.458333333,0.523509855,0,0.314326536,0.2,0.010454545,0.039423077,0.268456376,0
0.285714286,0.666666667,0.125,0.558180955,0.2,0.075594233,0.2,0.579545455,0.074038462,0.127516779,0
0.071428571,0.5,0.25,0.463785324,0,0.099623328,0.2,0.568181818,0.140384615,0.174496644,0
0.071428571,0.166666667,0,0.331156495,0,0.007013898,0.2,0.568181818,0.025,0.046979866,0
0.857142857,1,0.541666667,0.895630492,0.4,0.88362125,0,0.202159091,0.232211538,0.355704698,1
0,0.666666667,0.166666667,0.309190216,0,0.10559813,0,0.345795455,0.066826923,0.11409396,0
0.5,0.666666667,0.791666667,0.810852529,0.2,0.88362125,0.2,0,0,0,2
0,0.166666667,0.125,0.193659463,0,0.49331082,0.2,0,0,0,0
0.642857143,0.833333333,0.5,0.858703396,0.6,0.88362125,0.2,0.271590909,0.291826923,0.651006711,2
0.214285714,0.5,0.25,0.620398955,0,0.88362125,0.2,0.249431818,0.136057692,0.436241611,0
0.928571429,0.833333333,0.5,0.838280693,0.8,0.88362125,0.2,0.397386364,0.191826923,0.362416107,0
0,0.166666667,0,0.193659463,0,0.18911547,0.2,0.089431818,0.015865385,0.046979866,0
0.214285714,0.666666667,0.083333333,0.629660413,0.2,0.853097805,0,0.166818182,0.045673077,0.382550336,0
0,0,0,0.406554263,0,0.85244837,0.6,0.144545455,0.045673077,0.503355705,2
0.142857143,0.333333333,0,0.635359772,0,0.88362125,0,0.161590909,0.041346154,0.583892617,0
0.071428571,0.166666667,0,0.524222275,0,0.88362125,0,0.276704545,0.048557692,0.342281879,0
0.785714286,0.833333333,0.416666667,0.893611969,0.2,0.271853487,0,0.568181818,0.202403846,0.865771812,0
0.357142857,0.5,0.166666667,0.716694372,0,0.462787375,0.2,0.532954545,0.30625,0.570469799,0
0.071428571,0.333333333,0.208333333,0.563524104,0,0.119106377,0.2,0.568181818,0.282692308,0.530201342,0
0.107142857,0.833333333,0,0.468653526,0,0.00389661,0.2,0.101159091,0.047115385,0.087248322,0
0,0.666666667,0,0.412372358,0,0.00389661,0.2,0.107840909,0.065384615,0.268456376,0
0,0.666666667,0,0.397649014,0.2,0.00389661,0,0,0,0,0
0.071428571,0.333333333,0,0.357990976,0,0.00389661,0.2,0,0,0,0
